qh->%->sv,1.0,1,1
x->qo->sd,1.0,1,1
qw->sd->b,1.0,1,1
%->qy->nn,1.0,2,2
no->sd->%,1.0,1,1
qy->qy->sd,1.0,1,1
sd->x->bh,1.0,1,1
b->sv->qy,1.0,2,2
qo->qy->qrr,1.0,1,1
%->qw->br,1.0,1,1
aa->qy->sd,1.0,1,1
sv->qy->ng,1.0,1,1
sd->qy->nn,1.0,2,2
ba->x->sd,1.0,1,1
t1->sd->%,1.0,1,1
qy->ny->bk,1.0,2,2
h->qy->sd,1.0,1,1
ba->x->qy,1.0,1,1
b->qw->sv,1.0,1,1
ny->b->sv,1.0,1,1
fc->fc->qw,1.0,1,1
sv->qy->nn,1.0,1,1
br->qy->nn,1.0,1,1
b->sd->qy,1.0,1,1
sd->sd->bh,1.0,3,3
sd->%->qo,1.0,1,1
qh->sd->ba,1.0,1,1
^q->sd->sd,1.0,3,3
b->%->qw,1.0,1,1
qy->ng->sd,1.0,2,2
ba->sd->x,1.0,2,2
^q->x->sd,1.0,1,1
nn->sd->nn,1.0,1,1
ba->b->qy^d,1.0,1,1
b->b->b,1.0,12,12
sd->sv->qy^d,1.0,1,1
b->qw->sd,1.0,4,4
x->sv->aa,1.0,4,4
sd->aa->x,1.0,1,1
b->sv->qo,1.0,1,1
x->x->qw,1.0,1,1
br->qw->sd,1.0,2,2
qy->na->b,1.0,1,1
qo->aa->sd,1.0,1,1
ft->sd->sv,1.0,1,1
sd->sd->t1,1.0,1,1
qy->ny->ny,1.0,4,4
b->sd->ba,1.0,8,8
h->b->sv,1.0,1,1
qh->sd->aa,1.0,1,1
ny->ny->x,1.0,1,1
ba->sd->%,1.0,1,1
%->x->sd,1.0,1,1
x->qw->sd,1.0,2,2
sd->t1->sd,1.0,1,1
aa->b->qy,1.0,1,1
qw->sd->qw,1.0,2,2
%->b->qy,1.0,1,1
%->sd->qy,1.0,1,1
sv->qy->sd,1.0,1,1
ba->sd->ba,1.0,1,1
b->x->%,1.0,2,2
%->qy->sd,1.0,1,1
sd->%->aa,1.0,1,1
ny->ba->sv,1.0,1,1
no->%->sd,1.0,1,1
%->ba->sd,1.0,3,3
ba->qy^d->sd,1.0,1,1
sd->h->sd,1.0,1,1
b->qo->qw,1.0,1,1
b->b->ba,1.0,2,2
ft->sd->aa,1.0,1,1
ad->fc->fc,1.0,1,1
sd->qo->qy,1.0,1,1
%->qy->ng,1.0,1,1
sd->fc->fc,1.0,2,2
h->b->sd,1.0,1,1
qy->%->ny,1.0,1,1
"fo_o_fw_""_by_bc->qy->ny",1.0,1,1
qy^d->ny->ba,1.0,1,1
sd->x->b,1.0,4,4
sd->h->sv,1.0,1,1
%->qy->%,1.0,1,1
%->sd->qw,1.0,1,1
sd->bk->qy^d,1.0,1,1
sv->qo->aa,1.0,1,1
b->h->b,1.0,1,1
qw->qw->qy,1.0,1,1
aa->sv->x,1.0,1,1
sv->b->qy,1.0,4,4
ny->sv->bh,1.0,1,1
na->b->sv,1.0,1,1
b->sd->qh,1.0,1,1
x->sd->x,1.0,3,3
qy->sd->br,1.0,1,1
qrr->nn->sd,1.0,1,1
bk->fc->fc,1.0,1,1
sd->b->ft,1.0,1,1
sd->b^m->b,1.0,1,1
qo->sv->sd,1.0,1,1
qy->nn->sd,1.0,10,10
bk->qy->nn,1.0,1,1
sv->b->h,1.0,1,1
qy->ny->ba,1.0,1,1
ba->x->ba,1.0,1,1
sd->sd->fa,1.0,1,1
qy^d->ng->qy,1.0,1,1
b->qy->ng,1.0,1,1
%->sv->qy,1.0,1,1
aa->aa->qy,1.0,3,3
qy->ny->qw,1.0,1,1
ba->b->b,1.0,1,1
aa->qy->sv,1.0,1,1
qy->br->qy,1.0,1,1
x->bh->ny,1.0,1,1
qy->qrr->nn,1.0,1,1
sv->aa->x,1.0,1,1
qw->qw->sd,1.0,1,1
b->%->h,1.0,3,3
^h->sv->qo,1.0,1,1
sd->%->x,1.0,1,1
qw->br->qw,1.0,1,1
%->sd->^q,1.0,1,1
bh->sd->sd,1.0,1,1
aa->qy->ny,1.0,1,1
%->qy->na,1.0,1,1
bk->qy->qo,1.0,1,1
b->h->%,1.0,1,1
fc->qw->sd,1.0,1,1
sv->x->qw,1.0,1,1
qy->qrr->x,1.0,1,1
h->sd->x,1.0,1,1
b->b->h,1.0,1,1
sv->%->qy,1.0,1,1
aa->aa->ba,1.0,1,1
sv->bh->%,1.0,1,1
ny->ny->sd,1.0,2,2
%->x->sv,1.0,1,1
%->qw->qy,1.0,1,1
sv->h->qo,1.0,1,1
b->sd->fc,1.0,1,1
%->qo->sv,1.0,1,1
bh->%->sd,1.0,1,1
sv->qo->sd,1.0,1,1
ba->qy->sd,1.0,1,1
%->qy->br,1.0,1,1
sd->bk->fc,1.0,1,1
fa->sd->b,1.0,1,1
nn->sd->%,1.0,1,1
sd->ba->x,1.0,5,5
bk->qy^d->ng,1.0,1,1
sd->b->^h,1.0,1,1
qo->sd->sd,1.0,1,1
sv->bh->sd,1.0,1,1
sd->br->sd,1.0,1,1
aa->ba->b,1.0,1,1
ng->qy->ny,1.0,1,1
b->h->qw,1.0,1,1
sd->sd->qh,1.0,1,1
aa->x->x,1.0,1,1
b->ft->sd,1.0,1,1
sv->sd->fc,1.0,1,1
ny->sd->bh,1.0,1,1
nn->sd->bh,1.0,1,1
b->x->x,1.0,1,1
bk->sd->ba,1.0,3,3
qy->sv->sv,1.0,3,3
sd->x->x,1.0,3,3
%->b->h,1.0,1,1
qy->qo->%,1.0,1,1
"fo_o_fw_""_by_bc->sd->b",1.0,1,1
ng->sd->sd,1.0,1,1
b->ba->qy^d,1.0,1,1
h->sv->aa,1.0,1,1
x->qy->ny,1.0,1,1
%->aa->aa,1.0,1,1
b->b->qy^d,1.0,1,1
^q->^q->x,1.0,1,1
sd->b->qo,1.0,1,1
sd->%->ba,1.0,4,4
qy^d->sd->sd,1.0,1,1
%->qw->qw,1.0,2,2
nn->sd->bk,1.0,1,1
qw->sd->x,1.0,1,1
x->sv->sd,1.0,1,1
sd->qh->qh,1.0,1,1
qw->qy->nn,1.0,1,1
b->ad->fc,1.0,1,1
br->qy->ny,1.0,1,1
h->%->qw,1.0,1,1
x->x->%,1.0,1,1
b->b->aa,1.0,1,1
sd->x->qo,1.0,1,1
ny->qw->qy,1.0,1,1
sd->aa->h,1.0,1,1
%->h->sd,1.0,1,1
b->b->^2,1.0,1,1
sd->sd->qo,1.0,1,1
^q->^q->sd,1.0,1,1
ba->sd->h,1.0,1,1
sd->sd->x,0.9333333333333333,14,15
sd->x->sd,0.92,23,25
